ETF_ID,ETF_Name,Ticker,Asset_Class,Sector,Weight (%),Source_Quality,Data_As_Of,Source_URL,Notes
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Equity,Energy,0.45,Exact index benchmark,2026-06-30,https://indexes.nasdaqomx.com/docs/fs_ndx.pdf,Nasdaq-100 industry allocation used as the tracked-index benchmark.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Financials,24.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Industrials,18.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Health Care,13.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Technology,9.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Consumer Staples,7.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Consumer Discretionary,7.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Energy,5.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Utilities,4.9,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Basic Materials,4.5,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Telecommunications,2.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Real Estate,0.9,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Equity,Other/Rounding,0.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Developed_Europe_UCITS_ETF_EUR_Accumulating_9681_NETH_INT_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Industrials,26.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Technology,18.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Consumer Discretionary,16.4,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Financials,16.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Health Care,5.0,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Basic Materials,4.8,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Consumer Staples,4.3,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Telecommunications,4.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Real Estate,2.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Utilities,1.2,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Equity,Energy,0.8,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Japan_UCITS_ETF_USD_Accumulating_9674_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Technology,36.6,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Financials,20.9,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Consumer Discretionary,8.4,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Industrials,8.3,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Basic Materials,6.3,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Energy,4.3,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Telecommunications,4.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Consumer Staples,3.4,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Health Care,3.1,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Utilities,2.9,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
