Date,VWRP.L,SWDA.L,VUAG.L,ISF.L,EQQQ.L,VEUR.L,VJPN.L,VFEG.L,IUIT.L,IUHC.L,INRG.L,VGOV.L,IGLO.L,IBTG.L,AGGG.L,CORP.L,GHYS.L,SGLN.L,IWDP.L,ICHN.AS
2025-03-03,112.36000061035156,8733.5,88.97000122070312,864.9668579101562,40128.18359375,34.37732696533203,28.329496383666992,50.32500076293945,32.04999923706055,11.829999923706056,502.4303894042969,15.12924861907959,86.28951263427734,4.459799289703369,4.149842262268066,83.41463470458984,84.60853576660156,4418.0,1882.766357421875,5.345099925994873
2025-03-04,109.1999969482422,8464.0,86.12000274658203,854.0722045898438,38737.24609375,33.670745849609375,27.65914726257324,49.724998474121094,30.950000762939453,11.755000114440918,496.3312072753906,15.176148414611816,86.76976013183594,4.470159530639648,4.1638946533203125,83.44281005859375,84.1570053100586,4447.0,1860.7750244140625,5.289599895477295
2025-03-05,109.1500015258789,8435.0,85.16999816894531,852.9728393554688,38424.2578125,34.37256622314453,27.885025024414062,50.52000045776367,31.020000457763672,11.710000038146973,499.9306945800781,14.983866691589355,86.54176330566406,4.465920925140381,4.168255805969238,83.5273208618164,84.29666137695312,4423.0,1834.2852783203125,5.512199878692627
2025-03-06,109.63999938964844,8488.0,85.70999908447266,848.5750122070312,38625.25,34.48676681518555,28.025897979736328,50.95500183105469,31.420000076293945,11.80500030517578,502.9302978515625,14.996764183044434,86.173095703125,4.4616827964782715,4.16340970993042,83.20804595947266,84.0406265258789,4391.0,1819.791015625,5.645500183105469
2025-03-07,107.81999969482422,8329.0,83.8949966430664,848.974853515625,37546.30078125,34.3630485534668,27.779376983642575,50.61000061035156,30.75,11.75,509.9293518066406,15.051868438720703,86.5223617553711,4.468276023864746,4.176977634429932,83.56018829345703,83.95684051513672,4388.0,1801.7979736328125,5.614200115203857
2025-03-10,106.98999786376952,8274.0,83.47000122070312,840.9788208007812,37131.31640625,33.880104064941406,27.623931884765625,49.92250061035156,30.209999084472656,11.8100004196167,514.6786499023438,15.03076457977295,86.47384643554688,4.469688415527344,4.172616958618164,83.63531494140625,83.84512329101562,4371.0,1809.2950439453125,5.499100208282471
2025-03-11,105.43000030517578,8135.0,82.06999969482422,830.9838256835938,36685.3359375,33.432838439941406,27.192821502685547,49.79249954223633,29.8700008392334,11.510000228881836,510.6792297363281,14.987382888793944,86.5223617553711,4.470395088195801,4.169224739074707,83.39585876464844,83.75667572021484,4378.0,1776.307861328125,5.536399841308594
2025-03-12,106.23999786376952,8190.0,82.47000122070312,835.7814331054688,37112.3203125,33.64220428466797,27.68100929260254,49.900001525878906,30.489999771118164,11.46500015258789,508.6795043945313,14.931106567382812,86.4544448852539,4.467333793640137,4.156626224517822,83.17048645019531,83.73806762695312,4399.0,1772.0595703125,5.526299953460693
2025-03-13,105.41999816894533,8108.0,81.48500061035156,832.5303955078125,36487.6953125,33.48755645751953,27.683439254760746,49.85499954223633,29.969999313354492,11.385000228881836,510.3042907714844,14.990901947021484,86.35743713378906,4.465120792388916,4.161471843719482,82.93240356445312,83.4866943359375,4474.0,1761.313720703125,5.553100109100342
2025-03-14,106.95999908447266,8241.0,82.76499938964844,841.5263671875,37118.66796875,33.968135833740234,28.08054542541504,50.755001068115234,30.510000228881836,11.420000076293944,515.8035278320312,15.02255630493164,86.45929718017578,4.465601921081543,4.16340970993042,83.40225219726562,83.57979583740234,4493.0,1771.0599365234375,5.682300090789795
